"filename", "language", "CSS", "TypeScript React", "comment", "blank", "total"
"/home/elbytes/Documents/projects/PlayGround_dev/client/src/App.js", "TypeScript React", 0, 38, 0, 2, 40
"/home/elbytes/Documents/projects/PlayGround_dev/client/src/actions/bookActions.js", "TypeScript React", 0, 17, 0, 3, 20
"/home/elbytes/Documents/projects/PlayGround_dev/client/src/actions/callActions.js", "TypeScript React", 0, 81, 3, 11, 95
"/home/elbytes/Documents/projects/PlayGround_dev/client/src/actions/canvasActions.js", "TypeScript React", 0, 14, 0, 2, 16
"/home/elbytes/Documents/projects/PlayGround_dev/client/src/actions/chessActions.js", "TypeScript React", 0, 14, 1, 3, 18
"/home/elbytes/Documents/projects/PlayGround_dev/client/src/actions/dashboardActions.js", "TypeScript React", 0, 14, 0, 3, 17
"/home/elbytes/Documents/projects/PlayGround_dev/client/src/actions/userActions.js", "TypeScript React", 0, 202, 0, 35, 237
"/home/elbytes/Documents/projects/PlayGround_dev/client/src/api/users.js", "TypeScript React", 0, 3, 0, 3, 6
"/home/elbytes/Documents/projects/PlayGround_dev/client/src/bootstrap.min.css", "CSS", 2, 0, 10, 0, 12
"/home/elbytes/Documents/projects/PlayGround_dev/client/src/components/ActiveUsersList/ActiveUsersList.css", "CSS", 26, 0, 0, 6, 32
"/home/elbytes/Documents/projects/PlayGround_dev/client/src/components/ActiveUsersList/ActiveUsersList.js", "TypeScript React", 0, 20, 0, 3, 23
"/home/elbytes/Documents/projects/PlayGround_dev/client/src/components/ActiveUsersList/ActiveUsersListItem.js", "TypeScript React", 0, 23, 0, 4, 27
"/home/elbytes/Documents/projects/PlayGround_dev/client/src/components/Book/Book.js", "TypeScript React", 0, 87, 0, 7, 94
"/home/elbytes/Documents/projects/PlayGround_dev/client/src/components/Book/BookIndex.js", "TypeScript React", 0, 21, 0, 3, 24
"/home/elbytes/Documents/projects/PlayGround_dev/client/src/components/Book/BookItem.js", "TypeScript React", 0, 19, 0, 3, 22
"/home/elbytes/Documents/projects/PlayGround_dev/client/src/components/Book/BookItemList.js", "TypeScript React", 0, 46, 1, 5, 52
"/home/elbytes/Documents/projects/PlayGround_dev/client/src/components/Book/TheEnd.js", "TypeScript React", 0, 9, 0, 3, 12
"/home/elbytes/Documents/projects/PlayGround_dev/client/src/components/Book/bookData/bookCoverList.js", "TypeScript React", 0, 5, 0, 1, 6
"/home/elbytes/Documents/projects/PlayGround_dev/client/src/components/Book/bookData/bookNameList.js", "TypeScript React", 0, 1, 0, 1, 2
"/home/elbytes/Documents/projects/PlayGround_dev/client/src/components/Book/bookData/peterRabbitBookContent.js", "TypeScript React", 0, 107, 0, 1, 108
"/home/elbytes/Documents/projects/PlayGround_dev/client/src/components/Book/bookData/peterRabbitImages.js", "TypeScript React", 0, 28, 0, 1, 29
"/home/elbytes/Documents/projects/PlayGround_dev/client/src/components/CallRejected/CallRejected.css", "CSS", 12, 0, 0, 1, 13
"/home/elbytes/Documents/projects/PlayGround_dev/client/src/components/CallRejected/CallRejected.js", "TypeScript React", 0, 11, 0, 2, 13
"/home/elbytes/Documents/projects/PlayGround_dev/client/src/components/CallingDialogue/CallingDialogue.css", "CSS", 10, 0, 0, 1, 11
"/home/elbytes/Documents/projects/PlayGround_dev/client/src/components/CallingDialogue/CallingDialogue.js", "TypeScript React", 0, 10, 0, 2, 12
"/home/elbytes/Documents/projects/PlayGround_dev/client/src/components/Canvas/CanvasIndex.js", "TypeScript React", 0, 28, 0, 4, 32
"/home/elbytes/Documents/projects/PlayGround_dev/client/src/components/Canvas/ColorPicker.js", "TypeScript React", 0, 43, 1, 4, 48
"/home/elbytes/Documents/projects/PlayGround_dev/client/src/components/Canvas/FabricCanvasBoard.js", "TypeScript React", 0, 132, 6, 17, 155
"/home/elbytes/Documents/projects/PlayGround_dev/client/src/components/Chat/Chat.css", "CSS", 43, 0, 1, 5, 49
"/home/elbytes/Documents/projects/PlayGround_dev/client/src/components/Chat/Chat.js", "TypeScript React", 0, 55, 0, 6, 61
"/home/elbytes/Documents/projects/PlayGround_dev/client/src/components/Chat/MessageDisplay.js", "TypeScript React", 0, 5, 0, 3, 8
"/home/elbytes/Documents/projects/PlayGround_dev/client/src/components/Chess/ChessGame.js", "TypeScript React", 0, 113, 6, 11, 130
"/home/elbytes/Documents/projects/PlayGround_dev/client/src/components/Chess/ChessIndex.js", "TypeScript React", 0, 9, 0, 3, 12
"/home/elbytes/Documents/projects/PlayGround_dev/client/src/components/Chess/chess.js", "TypeScript React", 0, 1426, 235, 274, 1935
"/home/elbytes/Documents/projects/PlayGround_dev/client/src/components/Dashboard.js", "TypeScript React", 0, 29, 0, 3, 32
"/home/elbytes/Documents/projects/PlayGround_dev/client/src/components/Footer.js", "TypeScript React", 0, 61, 0, 4, 65
"/home/elbytes/Documents/projects/PlayGround_dev/client/src/components/FormContainer.js", "TypeScript React", 0, 14, 0, 3, 17
"/home/elbytes/Documents/projects/PlayGround_dev/client/src/components/Header.js", "TypeScript React", 0, 70, 0, 4, 74
"/home/elbytes/Documents/projects/PlayGround_dev/client/src/components/IncomingCallDialogue/IncomingCallDialogue.css", "CSS", 0, 0, 0, 1, 1
